,buying,maint,doors,persons,lug_boot,safety,condition
0,4,4,2,2,1,2,1
1,4,4,2,2,1,3,1
2,4,4,2,2,2,1,1
3,4,4,2,2,2,2,1
4,4,4,2,2,2,3,1
5,4,4,2,2,3,1,1
6,4,4,2,2,3,2,1
7,4,4,2,2,3,3,1
8,4,4,2,4,1,1,1
9,4,4,2,4,1,2,1
10,4,4,2,4,1,3,1
11,4,4,2,4,2,1,1
12,4,4,2,4,2,2,1
13,4,4,2,4,2,3,1
14,4,4,2,4,3,1,1
15,4,4,2,4,3,2,1
16,4,4,2,4,3,3,1
17,4,4,2,5,1,1,1
18,4,4,2,5,1,2,1
19,4,4,2,5,1,3,1
20,4,4,2,5,2,1,1
21,4,4,2,5,2,2,1
22,4,4,2,5,2,3,1
23,4,4,2,5,3,1,1
24,4,4,2,5,3,2,1
25,4,4,2,5,3,3,1
26,4,4,3,2,1,1,1
27,4,4,3,2,1,2,1
28,4,4,3,2,1,3,1
29,4,4,3,2,2,1,1
30,4,4,3,2,2,2,1
31,4,4,3,2,2,3,1
32,4,4,3,2,3,1,1
33,4,4,3,2,3,2,1
34,4,4,3,2,3,3,1
35,4,4,3,4,1,1,1
36,4,4,3,4,1,2,1
37,4,4,3,4,1,3,1
38,4,4,3,4,2,1,1
39,4,4,3,4,2,2,1
40,4,4,3,4,2,3,1
41,4,4,3,4,3,1,1
42,4,4,3,4,3,2,1
43,4,4,3,4,3,3,1
44,4,4,3,5,1,1,1
45,4,4,3,5,1,2,1
46,4,4,3,5,1,3,1
47,4,4,3,5,2,1,1
48,4,4,3,5,2,2,1
49,4,4,3,5,2,3,1
50,4,4,3,5,3,1,1
51,4,4,3,5,3,2,1
52,4,4,3,5,3,3,1
53,4,4,4,2,1,1,1
54,4,4,4,2,1,2,1
55,4,4,4,2,1,3,1
56,4,4,4,2,2,1,1
57,4,4,4,2,2,2,1
58,4,4,4,2,2,3,1
59,4,4,4,2,3,1,1
60,4,4,4,2,3,2,1
61,4,4,4,2,3,3,1
62,4,4,4,4,1,1,1
63,4,4,4,4,1,2,1
64,4,4,4,4,1,3,1
65,4,4,4,4,2,1,1
66,4,4,4,4,2,2,1
67,4,4,4,4,2,3,1
68,4,4,4,4,3,1,1
69,4,4,4,4,3,2,1
70,4,4,4,4,3,3,1
71,4,4,4,5,1,1,1
72,4,4,4,5,1,2,1
73,4,4,4,5,1,3,1
74,4,4,4,5,2,1,1
75,4,4,4,5,2,2,1
76,4,4,4,5,2,3,1
77,4,4,4,5,3,1,1
78,4,4,4,5,3,2,1
79,4,4,4,5,3,3,1
80,4,4,5,2,1,1,1
81,4,4,5,2,1,2,1
82,4,4,5,2,1,3,1
83,4,4,5,2,2,1,1
84,4,4,5,2,2,2,1
85,4,4,5,2,2,3,1
86,4,4,5,2,3,1,1
87,4,4,5,2,3,2,1
88,4,4,5,2,3,3,1
89,4,4,5,4,1,1,1
90,4,4,5,4,1,2,1
91,4,4,5,4,1,3,1
92,4,4,5,4,2,1,1
93,4,4,5,4,2,2,1
94,4,4,5,4,2,3,1
95,4,4,5,4,3,1,1
96,4,4,5,4,3,2,1
97,4,4,5,4,3,3,1
98,4,4,5,5,1,1,1
99,4,4,5,5,1,2,1
100,4,4,5,5,1,3,1
101,4,4,5,5,2,1,1
102,4,4,5,5,2,2,1
103,4,4,5,5,2,3,1
104,4,4,5,5,3,1,1
105,4,4,5,5,3,2,1
106,4,4,5,5,3,3,1
107,4,3,2,2,1,1,1
108,4,3,2,2,1,2,1
109,4,3,2,2,1,3,1
110,4,3,2,2,2,1,1
111,4,3,2,2,2,2,1
112,4,3,2,2,2,3,1
113,4,3,2,2,3,1,1
114,4,3,2,2,3,2,1
115,4,3,2,2,3,3,1
116,4,3,2,4,1,1,1
117,4,3,2,4,1,2,1
118,4,3,2,4,1,3,1
119,4,3,2,4,2,1,1
120,4,3,2,4,2,2,1
121,4,3,2,4,2,3,1
122,4,3,2,4,3,1,1
123,4,3,2,4,3,2,1
124,4,3,2,4,3,3,1
125,4,3,2,5,1,1,1
126,4,3,2,5,1,2,1
127,4,3,2,5,1,3,1
128,4,3,2,5,2,1,1
129,4,3,2,5,2,2,1
130,4,3,2,5,2,3,1
131,4,3,2,5,3,1,1
132,4,3,2,5,3,2,1
133,4,3,2,5,3,3,1
134,4,3,3,2,1,1,1
135,4,3,3,2,1,2,1
136,4,3,3,2,1,3,1
137,4,3,3,2,2,1,1
138,4,3,3,2,2,2,1
139,4,3,3,2,2,3,1
140,4,3,3,2,3,1,1
141,4,3,3,2,3,2,1
142,4,3,3,2,3,3,1
143,4,3,3,4,1,1,1
144,4,3,3,4,1,2,1
145,4,3,3,4,1,3,1
146,4,3,3,4,2,1,1
147,4,3,3,4,2,2,1
148,4,3,3,4,2,3,1
149,4,3,3,4,3,1,1
150,4,3,3,4,3,2,1
151,4,3,3,4,3,3,1
152,4,3,3,5,1,1,1
153,4,3,3,5,1,2,1
154,4,3,3,5,1,3,1
155,4,3,3,5,2,1,1
156,4,3,3,5,2,2,1
157,4,3,3,5,2,3,1
158,4,3,3,5,3,1,1
